analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
spatial,within,intact,75,10,"[32, 6, 1, 9, 42, 5, 11, 14, 8, 23]",0.05633333333333333,0.002024775320798606,0.012805803527643392,40,0.8358088888888892,0.29451777777777755
spatial,within,intact,100,1,[10],0.009666666666666667,0.0008337605742398084,0.0052731648756954115,40,0.6676441666666667,0.2974375
spatial,within,intact,100,2,"[10, 48]",0.015083333333333332,0.0010872709504342142,0.006876505274216314,40,0.7053333333333335,0.29612
spatial,within,intact,100,3,"[10, 48, 5]",0.029666666666666668,0.0014162266787834516,0.008957003976102737,40,0.7881652777777781,0.32489999999999986
spatial,within,intact,100,5,"[10, 48, 5, 0, 11]",0.042249999999999996,0.001516234558525572,0.009589509344001363,40,0.8211180555555557,0.31925777777777753
spatial,within,intact,100,10,"[10, 48, 5, 0, 11, 42, 22, 18, 12, 29]",0.05341666666666667,0.0017438843076971816,0.011029292776297996,40,0.8529097222222225,0.2885274999999998
spatial,within,rest,5,1,[2],0.006500000000000001,0.0005056659032384976,0.003198111978639933,40,0.52746,0.36869194444444436
spatial,within,rest,5,2,"[2, 1]",0.007666666666666666,0.0005991446895152781,0.0037893237337253676,40,0.5551586111111112,0.36500972222222217
spatial,within,rest,5,3,"[2, 1, 0]",0.006333333333333334,0.0007240279857964913,0.004579155049641907,40,0.5340902777777778,0.3412791666666667
spatial,within,rest,5,5,"[2, 1, 0, 4, 3]",0.00575,0.0006958106219744146,0.004400692771155113,40,0.5290244444444445,0.3471672222222222
spatial,within,rest,5,10,"[2, 1, 0, 4, 3]",0.00575,0.0006958106219744146,0.004400692771155113,40,0.5290244444444445,0.3471672222222222
spatial,within,rest,10,1,[2],0.0065833333333333325,0.0006025527367540542,0.0038108781170213277,40,0.5268327777777777,0.35952499999999993
spatial,within,rest,10,2,"[2, 4]",0.009083333333333334,0.0006854979266251702,0.004335469558917037,40,0.5401972222222222,0.35732527777777773
spatial,within,rest,10,3,"[2, 4, 5]",0.007666666666666667,0.0006877023141843227,0.004349411329982359,40,0.5204449999999999,0.35800305555555556
spatial,within,rest,10,5,"[2, 4, 5, 1, 0]",0.003916666666666667,0.0005833333333333334,0.0036893239368631097,40,0.5249222222222223,0.348171388888889
spatial,within,rest,10,10,"[2, 4, 5, 1, 0, 9, 6, 3, 8, 7]",0.006333333333333334,0.0006405126152203485,0.004050957468334666,40,0.5217836111111112,0.34645722222222214
spatial,within,rest,25,1,[10],0.006166666666666666,0.0005410499447694665,0.003421900306759639,40,0.5339536111111112,0.3536366666666667
spatial,within,rest,25,2,"[10, 1]",0.006833333333333333,0.0006421784505829843,0.00406149313624023,40,0.5485858333333333,0.3348775
spatial,within,rest,25,3,"[10, 1, 7]",0.004583333333333333,0.0005930209011272614,0.0037505934952953204,40,0.5436133333333334,0.3413938888888889
spatial,within,rest,25,5,"[10, 1, 7, 8, 16]",0.005416666666666667,0.0005930209011272614,0.003750593495295321,40,0.5409047222222222,0.33367888888888886
spatial,within,rest,25,10,"[10, 1, 7, 8, 16, 3, 4, 2, 5, 12]",0.008333333333333335,0.0006959385636178557,0.004401501945156832,40,0.5414527777777778,0.33749666666666667
spatial,within,rest,50,1,[5],0.007083333333333333,0.000717977334594521,0.0045408873713909835,40,0.5393600000000001,0.32492305555555556
spatial,within,rest,50,2,"[5, 20]",0.008083333333333335,0.0007724558461090408,0.004885439731234167,40,0.5433936111111112,0.33147638888888886
spatial,within,rest,50,3,"[5, 20, 3]",0.008333333333333335,0.0007259927871993819,0.0045915815448079635,40,0.5538213888888889,0.32547527777777774
spatial,within,rest,50,5,"[5, 20, 3, 15, 6]",0.009000000000000001,0.0005495400822454191,0.003475596650903565,40,0.5576661111111111,0.32952138888888893
spatial,within,rest,50,10,"[5, 20, 3, 15, 6, 8, 9, 27, 21, 24]",0.009166666666666667,0.00073331390805663,0.0046378843786765,40,0.5545380555555556,0.3297025
spatial,within,rest,75,1,[5],0.006833333333333333,0.0005591762357951763,0.003536541037104265,40,0.5450366666666667,0.32345888888888885
spatial,within,rest,75,2,"[5, 25]",0.007000000000000001,0.0008995092045759226,0.005688995725492537,40,0.5448575,0.32364333333333334
spatial,within,rest,75,3,"[5, 25, 18]",0.007083333333333333,0.0007752170911825527,0.0049029033784546,40,0.5595761111111113,0.31054861111111115
spatial,within,rest,75,5,"[5, 25, 18, 6, 64]",0.006166666666666666,0.0007313687749010652,0.004625582276428709,40,0.5505038888888889,0.32178388888888887
spatial,within,rest,75,10,"[5, 25, 18, 6, 64, 9, 32, 4, 34, 37]",0.010166666666666668,0.0007821913843960196,0.004947012681703421,40,0.537771388888889,0.32299222222222224
spatial,within,rest,100,1,[6],0.006500000000000001,0.0006079951641733013,0.003845299050311274,40,0.5371441666666668,0.32286111111111115
spatial,within,rest,100,2,"[6, 19]",0.007166666666666667,0.0007785405295328922,0.004923922648155051,40,0.5478561111111111,0.33562722222222224
