analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
spatial,within,intact,50,32,0.005583333333333333,0.0006013695196343919,0.003803394794892054,40,0.5302366666666666,0.33057055555555553
spatial,within,intact,50,33,0.006500000000000001,0.0005840959605818988,0.003694147215085458,40,0.5631013888888889,0.31774361111111116
spatial,within,intact,50,34,0.0035000000000000005,0.00047666337934435156,0.0030146839118420175,40,0.5368997222222223,0.32664666666666664
spatial,within,intact,50,35,0.005666666666666666,0.0007181013268818792,0.004541671567471675,40,0.5781316666666667,0.3160283333333333
spatial,within,intact,50,36,0.0055,0.0006703955544528912,0.004239953770645144,40,0.5475547222222221,0.3455505555555555
spatial,within,intact,50,37,0.004666666666666667,0.0005822639771026016,0.0036825607342247,40,0.5410122222222222,0.31708916666666664
spatial,within,intact,50,38,0.006333333333333332,0.0007141228955659593,0.004516509758525979,40,0.5880658333333334,0.3372625
spatial,within,intact,50,39,0.004416666666666668,0.0005894067228156503,0.0037277354246259744,40,0.522616388888889,0.3308869444444444
spatial,within,intact,50,40,0.005,0.0005967623950328607,0.003774256780481986,40,0.529666388888889,0.3355663888888889
spatial,within,intact,50,41,0.004666666666666667,0.0006515377383555189,0.004120686469516576,40,0.5315363888888889,0.32656277777777776
spatial,within,intact,50,42,0.004416666666666667,0.0004366979828269512,0.002761920550668525,40,0.5034077777777778,0.34528583333333335
spatial,within,intact,50,43,0.006666666666666666,0.0007453559924999299,0.004714045207910317,40,0.5574058333333334,0.3299333333333333
spatial,within,intact,50,44,0.0055000000000000005,0.0005277215444626347,0.0033376041016874875,40,0.49092722222222224,0.36167027777777777
spatial,within,intact,50,45,0.0019166666666666666,0.00031322920619338105,0.001981035442515208,40,0.510288611111111,0.33887527777777776
spatial,within,intact,50,46,0.0034166666666666664,0.0006025527367540542,0.0038108781170213277,40,0.5238133333333334,0.32878999999999997
spatial,within,intact,50,47,0.003166666666666666,0.0005330928945203023,0.0033715755022721006,40,0.538266111111111,0.3370683333333333
spatial,within,intact,50,48,0.004416666666666667,0.0005647213971599238,0.003571611716915804,40,0.5406213888888889,0.32460194444444435
spatial,within,intact,50,49,0.002416666666666667,0.0004301245430187895,0.002720346466956902,40,0.5116625000000001,0.3247108333333332
spatial,within,intact,75,0,0.007083333333333333,0.000737551002630653,0.004664682117707407,40,0.5770491666666666,0.3263419444444444
spatial,within,intact,75,1,0.009333333333333332,0.0007567361314550618,0.004786019526285168,40,0.7084138888888889,0.39116166666666663
spatial,within,intact,75,2,0.00775,0.0006246081392643932,0.003950368730310261,40,0.6926822222222222,0.3155216666666666
spatial,within,intact,75,3,0.007000000000000001,0.0007040784727049221,0.004452983250480495,40,0.6699980555555557,0.32741638888888874
spatial,within,intact,75,4,0.0075000000000000015,0.0003726779962499649,0.0023570226039551583,40,0.594838888888889,0.4083997222222221
spatial,within,intact,75,5,0.008166666666666666,0.00061959917196776,0.003918689239544947,40,0.6710352777777778,0.3502152777777777
spatial,within,intact,75,6,0.009333333333333334,0.0006877023141843227,0.004349411329982359,40,0.623633888888889,0.38552027777777764
spatial,within,intact,75,7,0.0065833333333333325,0.0006481125346341155,0.004099023579097137,40,0.581563888888889,0.3737369444444444
spatial,within,intact,75,8,0.008,0.0007240279857964913,0.004579155049641907,40,0.6222422222222221,0.3097255555555555
spatial,within,intact,75,9,0.008749999999999999,0.0006503067433133847,0.004112900973273538,40,0.6364075000000001,0.3697430555555556
spatial,within,intact,75,10,0.006666666666666666,0.0006537204504606134,0.004134491152973615,40,0.5919405555555557,0.39237694444444443
spatial,within,intact,75,11,0.008083333333333335,0.0005322571942188482,0.0033662900694843324,40,0.5976466666666667,0.3693086111111111
spatial,within,intact,75,12,0.00625,0.0006665331062793369,0.004215525503499566,40,0.629141388888889,0.3358213888888889
spatial,within,intact,75,13,0.0065833333333333325,0.0006590105247982552,0.004167948520770725,40,0.6288597222222222,0.30939861111111105
spatial,within,intact,75,14,0.008083333333333335,0.0008679764921259047,0.005489565341202127,40,0.5930902777777778,0.35903166666666664
spatial,within,intact,75,15,0.005166666666666667,0.0007637626158259732,0.004830458915396479,40,0.5615308333333334,0.3130427777777777
spatial,within,intact,75,16,0.006500000000000001,0.000674631903431942,0.004266746794119403,40,0.5984827777777777,0.33743777777777767
spatial,within,intact,75,17,0.006416666666666666,0.0008387643536927645,0.005304811555656397,40,0.5740216666666667,0.3319794444444444
spatial,within,intact,75,18,0.004583333333333333,0.0005019548679499876,0.003174641330662029,40,0.5715797222222223,0.3244697222222222
spatial,within,intact,75,19,0.007666666666666666,0.0006558958989042623,0.004148249897002013,40,0.5671305555555556,0.31322777777777777
spatial,within,intact,75,20,0.00575,0.0006535842445105027,0.004133629710907181,40,0.5643944444444445,0.3396669444444444
spatial,within,intact,75,21,0.005,0.0006959385636178557,0.004401501945156832,40,0.5578836111111112,0.3394352777777777
spatial,within,intact,75,22,0.004333333333333333,0.0005495400822454191,0.0034755966509035655,40,0.5551216666666667,0.3414708333333333
spatial,within,intact,75,23,0.007916666666666666,0.0009065093817822623,0.005733268733486193,40,0.5591177777777778,0.3522091666666667
spatial,within,intact,75,24,0.005,0.00046225016352102424,0.0029235267310234307,40,0.5497019444444444,0.33862444444444445
