analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
temporal,within,intact,75,59,0.005083333333333334,0.0005335936864527374,0.0033747427885527648,40,0.5931358333333334,0.3318077777777778
temporal,within,intact,75,60,0.003583333333333333,0.0004681828240069863,0.002961048170463674,40,0.5802455555555557,0.33945861111111114
temporal,within,intact,75,61,0.007333333333333333,0.0005748776656683841,0.0036358455989457554,40,0.5982127777777777,0.2956194444444444
temporal,within,intact,75,62,0.006166666666666667,0.0007116250813527136,0.004500712194354384,40,0.6064977777777778,0.3348966666666667
temporal,within,intact,75,63,0.004416666666666668,0.0005519648921491675,0.003490932495281123,40,0.5690080555555556,0.3205675
temporal,within,intact,75,64,0.005166666666666667,0.0005056659032384978,0.0031981119786399334,40,0.5914127777777779,0.3226055555555556
temporal,within,intact,75,65,0.006750000000000001,0.0005659812345252781,0.0035795796280276146,40,0.5984841666666666,0.3410608333333333
temporal,within,intact,75,66,0.00625,0.0006448072217929582,0.0040781189451822185,40,0.590603611111111,0.33573722222222224
temporal,within,intact,75,67,0.007833333333333335,0.0007693375994193588,0.004865718207542816,40,0.5934099999999999,0.31597055555555553
temporal,within,intact,75,68,0.007166666666666666,0.0005277215444626347,0.0033376041016874875,40,0.5971591666666668,0.33947527777777775
temporal,within,intact,75,69,0.005,0.0005967623950328606,0.0037742567804819856,40,0.6103422222222223,0.3220577777777778
temporal,within,intact,75,70,0.004833333333333334,0.0006079951641733013,0.003845299050311274,40,0.6021808333333334,0.3266027777777778
temporal,within,intact,75,71,0.003,0.00040998922923799857,0.002592999561057951,40,0.5462844444444445,0.32842416666666663
temporal,within,intact,75,72,0.005,0.0006751595780557777,0.00427008410146899,40,0.5387069444444446,0.3300941666666667
temporal,within,intact,75,73,0.003583333333333333,0.0005647213971599238,0.003571611716915804,40,0.5511458333333333,0.33171694444444444
temporal,within,intact,75,74,0.0034166666666666664,0.0005131809630673187,0.0032456413902629527,40,0.5143469444444445,0.32336666666666664
temporal,within,intact,100,0,0.008,0.000427008410146899,0.002700638312223111,40,0.5973091666666666,0.35234138888888883
temporal,within,intact,100,1,0.0069166666666666664,0.0003656843874505326,0.0023127911382143547,40,0.6056480555555555,0.32885111111111104
temporal,within,intact,100,2,0.006750000000000001,0.0003865159594306383,0.0024445415676121107,40,0.5962722222222222,0.3719824999999999
temporal,within,intact,100,3,0.007916666666666666,0.00040803015083275897,0.002580609261307136,40,0.6030969444444445,0.3095508333333333
temporal,within,intact,100,4,0.006833333333333333,0.00044577791412086436,0.0028193470784417356,40,0.5904505555555557,0.3334333333333333
temporal,within,intact,100,5,0.007083333333333333,0.0004166666666666666,0.002635231383473649,40,0.5872544444444443,0.3322611111111111
temporal,within,intact,100,6,0.008,0.0005310850045437943,0.003358876491038526,40,0.6390658333333334,0.3060463888888888
temporal,within,intact,100,7,0.008666666666666666,0.0006405126152203485,0.004050957468334666,40,0.6533644444444447,0.3142155555555555
temporal,within,intact,100,8,0.006666666666666666,0.0004303314829119352,0.002721655269759087,40,0.6108661111111112,0.2936913888888889
temporal,within,intact,100,9,0.008083333333333335,0.0007906820237478923,0.005000712199989368,40,0.6779344444444446,0.3031436111111111
temporal,within,intact,100,10,0.007000000000000001,0.00037363235887853663,0.0023630585231952223,40,0.626095277777778,0.3226675
temporal,within,intact,100,11,0.008833333333333334,0.0005540578101426393,0.003504169270911763,40,0.6476558333333335,0.3436269444444444
temporal,within,intact,100,12,0.008916666666666666,0.0005647213971599237,0.0035716117169158033,40,0.6541233333333333,0.3105869444444444
temporal,within,intact,100,13,0.0065833333333333325,0.0004697016692749325,0.002970654191383831,40,0.6428725,0.3196972222222222
temporal,within,intact,100,14,0.00975,0.0007099967898486877,0.0044904139746595375,40,0.6665733333333336,0.3135286111111111
temporal,within,intact,100,15,0.006666666666666666,0.0004465760847047224,0.0028243951524544115,40,0.6227513888888889,0.3091513888888889
temporal,within,intact,100,16,0.0075,0.00039132327190432095,0.002474945681294061,40,0.6001066666666667,0.31433527777777776
temporal,within,intact,100,17,0.009416666666666667,0.0006947862406725684,0.004394214014942469,40,0.6650705555555556,0.3545255555555554
temporal,within,intact,100,18,0.007416666666666667,0.0005532537786493134,0.003499084129252931,40,0.6497438888888889,0.336478611111111
temporal,within,intact,100,19,0.009,0.00044975460228796133,0.002844497862746269,40,0.6637683333333333,0.2864749999999999
