analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
temporal,within,rest,10,3,"[0, 6, 2]",0.007916666666666667,0.0007978559231302817,0.0050460839234958196,40,0.6276072222222223,0.31640444444444443
temporal,within,rest,10,5,"[0, 6, 2, 8, 3]",0.005,0.000559812748506421,0.003540566696958629,40,0.5706311111111112,0.3318616666666667
temporal,within,rest,10,10,"[0, 6, 2, 8, 3, 9, 7, 4, 1, 5]",0.008083333333333335,0.0007346481996220893,0.0046463231794957064,40,0.583998888888889,0.3429691666666666
temporal,within,rest,25,1,[2],0.009333333333333332,0.0007660904560785147,0.004845181469850584,40,0.6028383333333334,0.3030191666666667
temporal,within,rest,25,2,"[2, 1]",0.010666666666666668,0.0007376717048657512,0.004665445505670575,40,0.6562094444444444,0.2843938888888888
temporal,within,rest,25,3,"[2, 1, 0]",0.014583333333333334,0.0007129999620399329,0.004509407703319565,40,0.679760277777778,0.2806125
temporal,within,rest,25,5,"[2, 1, 0, 7, 16]",0.013416666666666665,0.0009731985329907688,0.006155047959570696,40,0.674207777777778,0.3002936111111111
temporal,within,rest,25,10,"[2, 1, 0, 7, 16, 9, 17, 14, 18, 3]",0.01225,0.0007297845367541505,0.0046155626746279595,40,0.6440019444444445,0.30217749999999993
temporal,within,rest,50,1,[1],0.009916666666666667,0.0006697312043199764,0.004235752051477452,40,0.6300955555555555,0.28538694444444446
temporal,within,rest,50,2,"[1, 0]",0.011083333333333334,0.0006579288490181673,0.00416110740246089,40,0.6395091666666668,0.2754963888888889
temporal,within,rest,50,3,"[1, 0, 13]",0.012666666666666665,0.000854016820293798,0.005401276624446222,40,0.6459550000000001,0.2909333333333334
temporal,within,rest,50,5,"[1, 0, 13, 12, 2]",0.011666666666666667,0.0007453559924999299,0.004714045207910317,40,0.6358758333333334,0.3047155555555555
temporal,within,rest,50,10,"[1, 0, 13, 12, 2, 15, 14, 20, 18, 3]",0.011833333333333333,0.0007255020856987773,0.004588478076021618,40,0.6377191666666668,0.3273775
temporal,within,rest,75,1,[1],0.009083333333333334,0.0007452365348515146,0.004713289691404477,40,0.6333072222222222,0.30240138888888884
temporal,within,rest,75,2,"[1, 25]",0.01175,0.0010055933316793367,0.0063599306559677165,40,0.6258427777777777,0.2719186111111111
temporal,within,rest,75,3,"[1, 25, 0]",0.01583333333333333,0.0009070003156832815,0.005736373672101818,40,0.6310886111111111,0.2629813888888889
temporal,within,rest,75,5,"[1, 25, 0, 40, 8]",0.014916666666666667,0.0006854979266251703,0.004335469558917038,40,0.6339983333333334,0.2704658333333333
temporal,within,rest,75,10,"[1, 25, 0, 40, 8, 17, 14, 6, 2, 7]",0.014250000000000002,0.0009244040199083903,0.005846444362252298,40,0.6730405555555556,0.2664766666666666
