rank,accuracy,error,rep,fold,K,condition,reconstruction
0.6991333333333329,0.03666666666666667,0.2795111111111112,32,0,10,word,all_archetypes
0.696966666666667,0.03666666666666667,0.2802444444444442,32,1,10,word,all_archetypes
0.7019888888888893,0.02666666666666667,0.28077777777777785,33,0,10,word,all_archetypes
0.7082666666666672,0.04666666666666667,0.2910555555555555,33,1,10,word,all_archetypes
0.6591444444444439,0.03,0.29836666666666667,34,0,10,word,all_archetypes
0.6554,0.02666666666666667,0.29605555555555535,34,1,10,word,all_archetypes
0.6932,0.02666666666666667,0.2852888888888887,35,0,10,word,all_archetypes
0.6921111111111116,0.03333333333333333,0.3323222222222221,35,1,10,word,all_archetypes
0.6706666666666662,0.03,0.3526666666666668,36,0,10,word,all_archetypes
0.6635666666666665,0.03,0.3103333333333333,36,1,10,word,all_archetypes
0.7019333333333333,0.03,0.27718888888888893,37,0,10,word,all_archetypes
0.7014333333333335,0.03,0.27377777777777784,37,1,10,word,all_archetypes
0.6757666666666667,0.04,0.29943333333333316,38,0,10,word,all_archetypes
0.6796666666666673,0.03333333333333333,0.2794777777777777,38,1,10,word,all_archetypes
0.6743555555555553,0.02,0.3053444444444442,39,0,10,word,all_archetypes
0.6816111111111114,0.043333333333333335,0.3159888888888888,39,1,10,word,all_archetypes
0.6863222222222224,0.023333333333333334,0.34256666666666663,40,0,10,word,all_archetypes
0.686522222222222,0.03666666666666667,0.29243333333333316,40,1,10,word,all_archetypes
0.6816222222222225,0.03,0.29924444444444426,41,0,10,word,all_archetypes
0.6826000000000002,0.03,0.2844777777777778,41,1,10,word,all_archetypes
0.699466666666667,0.05333333333333334,0.29014444444444437,42,0,10,word,all_archetypes
0.7017888888888885,0.03,0.3122333333333331,42,1,10,word,all_archetypes
0.6834,0.023333333333333334,0.2970555555555556,43,0,10,word,all_archetypes
0.6767888888888891,0.02666666666666667,0.3247333333333331,43,1,10,word,all_archetypes
0.7085777777777781,0.02,0.31918888888888913,44,0,10,word,all_archetypes
0.7023000000000005,0.02666666666666667,0.30899999999999994,44,1,10,word,all_archetypes
0.6983444444444451,0.023333333333333334,0.3293555555555556,45,0,10,word,all_archetypes
0.6954555555555558,0.023333333333333334,0.2844999999999999,45,1,10,word,all_archetypes
0.7202666666666668,0.02666666666666667,0.27521111111111113,46,0,10,word,all_archetypes
0.720688888888889,0.03,0.3228111111111108,46,1,10,word,all_archetypes
0.6877444444444445,0.04,0.29162222222222206,47,0,10,word,all_archetypes
0.6730111111111109,0.03333333333333333,0.2831111111111109,47,1,10,word,all_archetypes
0.6497555555555556,0.023333333333333334,0.32612222222222215,48,0,10,word,all_archetypes
0.6467333333333337,0.03,0.35183333333333333,48,1,10,word,all_archetypes
0.6972555555555554,0.03333333333333333,0.3286111111111111,49,0,10,word,all_archetypes
0.6955222222222223,0.03,0.2916555555555557,49,1,10,word,all_archetypes
0.862822222222223,0.06666666666666667,0.23925555555555542,0,0,25,intact,all_archetypes
0.8658777777777785,0.07666666666666666,0.2605444444444441,0,1,25,intact,all_archetypes
0.8679333333333337,0.07,0.26335555555555523,1,0,25,intact,all_archetypes
0.8744555555555554,0.07666666666666666,0.24799999999999978,1,1,25,intact,all_archetypes
0.8765888888888893,0.09,0.26617777777777735,2,0,25,intact,all_archetypes
0.8778444444444449,0.06666666666666667,0.2502555555555555,2,1,25,intact,all_archetypes
0.8957555555555562,0.07333333333333333,0.2412111111111107,3,0,25,intact,all_archetypes
0.9004111111111113,0.09333333333333334,0.2370999999999999,3,1,25,intact,all_archetypes
0.8905444444444451,0.07,0.23244444444444426,4,0,25,intact,all_archetypes
0.8873444444444449,0.06,0.27688888888888846,4,1,25,intact,all_archetypes
0.8511777777777783,0.03666666666666667,0.27296666666666647,5,0,25,intact,all_archetypes
0.8473888888888894,0.04,0.30003333333333326,5,1,25,intact,all_archetypes
0.857966666666667,0.07333333333333333,0.24226666666666635,6,0,25,intact,all_archetypes
0.8585333333333335,0.05333333333333334,0.27341111111111077,6,1,25,intact,all_archetypes
0.8864666666666672,0.06666666666666667,0.24675555555555556,7,0,25,intact,all_archetypes
0.8839000000000005,0.08,0.24617777777777755,7,1,25,intact,all_archetypes
