K,condition,reconstruction,top_m,mean,std,count,err
75,rest,top_m_global,5,0.006533333333333333,0.0038466683589210193,100,0.0038466683589210193
75,word,top_m_global,1,0.008733333333333334,0.0033761559104641572,100,0.0033761559104641572
75,word,top_m_global,2,0.017233333333333333,0.005626915436439754,100,0.005626915436439754
75,word,top_m_global,3,0.0231,0.007220357179546207,100,0.007220357179546207
75,word,top_m_global,4,0.03196666666666667,0.009163620552958765,100,0.009163620552958765
75,word,top_m_global,5,0.030333333333333334,0.009045340337332909,100,0.009045340337332909
100,intact,top_m_global,1,0.007033333333333333,0.004590895200610161,100,0.004590895200610161
100,intact,top_m_global,2,0.012566666666666669,0.005481424606129542,100,0.005481424606129542
100,intact,top_m_global,3,0.0155,0.00678968981372157,100,0.00678968981372157
100,intact,top_m_global,4,0.025833333333333333,0.008292830865937384,100,0.008292830865937384
100,intact,top_m_global,5,0.03133333333333333,0.00713820595719384,100,0.00713820595719384
100,rest,top_m_global,1,0.003166666666666667,0.0032952368440805372,100,0.0032952368440805372
100,rest,top_m_global,2,0.0032333333333333337,0.0030134379171982417,100,0.0030134379171982417
100,rest,top_m_global,3,0.0044,0.00350980668775499,100,0.00350980668775499
100,rest,top_m_global,4,0.005533333333333334,0.003615032835507271,100,0.003615032835507271
100,rest,top_m_global,5,0.0047666666666666664,0.003885424141993693,100,0.003885424141993693
100,word,top_m_global,1,0.007233333333333334,0.004049497343098532,100,0.004049497343098532
100,word,top_m_global,2,0.009033333333333332,0.004721063434768339,100,0.004721063434768339
100,word,top_m_global,3,0.009500000000000001,0.004999999999999999,100,0.004999999999999999
100,word,top_m_global,4,0.011466666666666667,0.005612236110843951,100,0.005612236110843951
100,word,top_m_global,5,0.0177,0.007022410814498605,100,0.007022410814498605
