rank,accuracy,error,rep,fold,top_m,K,condition,reconstruction
0.7876777777777779,0.043333333333333335,0.28931111111111096,7,1,3,10,intact,top_m_global
0.7912222222222227,0.04666666666666667,0.3034777777777774,8,0,3,10,intact,top_m_global
0.7872888888888889,0.05333333333333334,0.2962666666666665,8,1,3,10,intact,top_m_global
0.7848222222222222,0.02666666666666667,0.2988666666666663,9,0,3,10,intact,top_m_global
0.7826888888888891,0.03,0.30875555555555545,9,1,3,10,intact,top_m_global
0.7934666666666671,0.016666666666666666,0.3349222222222218,10,0,3,10,intact,top_m_global
0.7945666666666665,0.013333333333333334,0.3252555555555552,10,1,3,10,intact,top_m_global
0.7961111111111119,0.043333333333333335,0.30197777777777757,11,0,3,10,intact,top_m_global
0.7818333333333335,0.023333333333333334,0.34709999999999974,11,1,3,10,intact,top_m_global
0.7911444444444445,0.04,0.324211111111111,12,0,3,10,intact,top_m_global
0.795066666666667,0.03,0.3172777777777774,12,1,3,10,intact,top_m_global
0.7837777777777786,0.023333333333333334,0.30619999999999986,13,0,3,10,intact,top_m_global
0.7755000000000002,0.02666666666666667,0.33892222222222207,13,1,3,10,intact,top_m_global
0.7961888888888893,0.03,0.31685555555555517,14,0,3,10,intact,top_m_global
0.7913555555555557,0.02666666666666667,0.3093666666666668,14,1,3,10,intact,top_m_global
0.7686555555555564,0.03,0.3248777777777775,15,0,3,10,intact,top_m_global
0.766022222222223,0.03333333333333333,0.3337555555555556,15,1,3,10,intact,top_m_global
0.7753777777777775,0.03333333333333333,0.2965555555555556,16,0,3,10,intact,top_m_global
0.7680222222222223,0.023333333333333334,0.3114222222222218,16,1,3,10,intact,top_m_global
0.7697333333333335,0.03666666666666667,0.3267333333333333,17,0,3,10,intact,top_m_global
0.7653333333333336,0.02666666666666667,0.32509999999999956,17,1,3,10,intact,top_m_global
0.7817222222222223,0.023333333333333334,0.36100000000000004,18,0,3,10,intact,top_m_global
0.7811666666666665,0.03333333333333333,0.29919999999999985,18,1,3,10,intact,top_m_global
0.7826666666666667,0.03333333333333333,0.326133333333333,19,0,3,10,intact,top_m_global
0.7726777777777786,0.03666666666666667,0.3123222222222219,19,1,3,10,intact,top_m_global
0.8073666666666665,0.023333333333333334,0.3288444444444442,20,0,3,10,intact,top_m_global
0.8113777777777786,0.04,0.33130000000000004,20,1,3,10,intact,top_m_global
0.7831777777777782,0.03,0.30661111111111067,21,0,3,10,intact,top_m_global
0.7840888888888888,0.04,0.33657777777777753,21,1,3,10,intact,top_m_global
0.8048444444444445,0.03666666666666667,0.31156666666666655,22,0,3,10,intact,top_m_global
0.8112,0.05333333333333334,0.3089999999999999,22,1,3,10,intact,top_m_global
0.786677777777778,0.02,0.31183333333333313,23,0,3,10,intact,top_m_global
0.7790777777777781,0.016666666666666666,0.3127555555555554,23,1,3,10,intact,top_m_global
0.8040333333333335,0.03,0.32979999999999987,24,0,3,10,intact,top_m_global
0.8129666666666671,0.04,0.2899555555555553,24,1,3,10,intact,top_m_global
0.779966666666667,0.02666666666666667,0.33776666666666644,25,0,3,10,intact,top_m_global
0.788133333333333,0.02666666666666667,0.2905555555555554,25,1,3,10,intact,top_m_global
0.7979777777777779,0.03333333333333333,0.3011888888888885,26,0,3,10,intact,top_m_global
0.8021333333333335,0.04,0.3136222222222221,26,1,3,10,intact,top_m_global
0.8116000000000002,0.05,0.2897888888888885,27,0,3,10,intact,top_m_global
0.8078888888888889,0.023333333333333334,0.2968333333333333,27,1,3,10,intact,top_m_global
0.7692666666666669,0.016666666666666666,0.3181888888888885,28,0,3,10,intact,top_m_global
0.7633,0.02,0.32963333333333317,28,1,3,10,intact,top_m_global
0.8085000000000006,0.043333333333333335,0.2874666666666663,29,0,3,10,intact,top_m_global
0.8067333333333334,0.02666666666666667,0.3511333333333334,29,1,3,10,intact,top_m_global
0.789455555555556,0.03333333333333333,0.29678888888888877,30,0,3,10,intact,top_m_global
0.7816000000000004,0.03,0.3414777777777777,30,1,3,10,intact,top_m_global
0.8054777777777777,0.02666666666666667,0.32924444444444434,31,0,3,10,intact,top_m_global
0.8044333333333336,0.04666666666666667,0.28285555555555514,31,1,3,10,intact,top_m_global
0.810155555555556,0.03666666666666667,0.3191555555555553,32,0,3,10,intact,top_m_global
0.8038666666666674,0.03,0.31114444444444433,32,1,3,10,intact,top_m_global
0.7848555555555561,0.03666666666666667,0.31991111111111104,33,0,3,10,intact,top_m_global
0.7806333333333333,0.043333333333333335,0.31193333333333306,33,1,3,10,intact,top_m_global
0.7797666666666668,0.023333333333333334,0.29567777777777765,34,0,3,10,intact,top_m_global
0.7821222222222225,0.03333333333333333,0.3185666666666664,34,1,3,10,intact,top_m_global
0.782666666666667,0.02666666666666667,0.3191000000000001,35,0,3,10,intact,top_m_global
0.7799666666666673,0.03,0.3433222222222223,35,1,3,10,intact,top_m_global
0.8036777777777776,0.03333333333333333,0.3176222222222221,36,0,3,10,intact,top_m_global
0.8103888888888889,0.04,0.33912222222222205,36,1,3,10,intact,top_m_global
0.8028222222222227,0.03333333333333333,0.32405555555555543,37,0,3,10,intact,top_m_global
0.8009444444444446,0.02666666666666667,0.3421555555555554,37,1,3,10,intact,top_m_global
0.7832222222222224,0.03666666666666667,0.3296888888888887,38,0,3,10,intact,top_m_global
0.7773777777777782,0.05,0.32498888888888877,38,1,3,10,intact,top_m_global
0.7818111111111111,0.03,0.35028888888888876,39,0,3,10,intact,top_m_global
0.785644444444445,0.02666666666666667,0.29386666666666617,39,1,3,10,intact,top_m_global
0.8049666666666673,0.023333333333333334,0.344022222222222,40,0,3,10,intact,top_m_global
0.804844444444445,0.03333333333333333,0.34217777777777747,40,1,3,10,intact,top_m_global
0.7960111111111117,0.02,0.3207111111111109,41,0,3,10,intact,top_m_global
0.7989777777777778,0.02666666666666667,0.3187555555555556,41,1,3,10,intact,top_m_global
0.7868666666666666,0.03,0.30565555555555535,42,0,3,10,intact,top_m_global
0.7847666666666671,0.03666666666666667,0.31578888888888895,42,1,3,10,intact,top_m_global
0.7908666666666668,0.03333333333333333,0.3437999999999996,43,0,3,10,intact,top_m_global
0.7879000000000003,0.02,0.3109444444444444,43,1,3,10,intact,top_m_global
0.7936555555555558,0.023333333333333334,0.28726666666666656,44,0,3,10,intact,top_m_global
0.7937777777777784,0.05,0.3023555555555553,44,1,3,10,intact,top_m_global
0.7935999999999999,0.03,0.30264444444444405,45,0,3,10,intact,top_m_global
0.7952,0.04,0.3103555555555555,45,1,3,10,intact,top_m_global
0.7871555555555559,0.03,0.35928888888888877,46,0,3,10,intact,top_m_global
0.8012666666666675,0.03666666666666667,0.31486666666666624,46,1,3,10,intact,top_m_global
0.806566666666667,0.03666666666666667,0.31063333333333326,47,0,3,10,intact,top_m_global
0.7986444444444446,0.03,0.3052555555555554,47,1,3,10,intact,top_m_global
0.8013222222222226,0.02666666666666667,0.31586666666666635,48,0,3,10,intact,top_m_global
0.7973666666666668,0.06333333333333334,0.28227777777777746,48,1,3,10,intact,top_m_global
0.8015444444444451,0.05,0.32008888888888865,49,0,3,10,intact,top_m_global
0.8036777777777785,0.023333333333333334,0.32025555555555535,49,1,3,10,intact,top_m_global
0.7748666666666667,0.02,0.32998888888888905,0,0,4,10,intact,top_m_global
0.7824999999999999,0.02666666666666667,0.3346888888888888,0,1,4,10,intact,top_m_global
0.7789000000000004,0.013333333333333334,0.3299333333333331,1,0,4,10,intact,top_m_global
0.7686333333333333,0.03333333333333333,0.32064444444444423,1,1,4,10,intact,top_m_global
0.7895333333333336,0.03666666666666667,0.31205555555555536,2,0,4,10,intact,top_m_global
0.7925111111111105,0.03,0.3264555555555555,2,1,4,10,intact,top_m_global
0.8069444444444447,0.03333333333333333,0.3150666666666665,3,0,4,10,intact,top_m_global
0.8055777777777783,0.03,0.3347111111111107,3,1,4,10,intact,top_m_global
0.7994000000000003,0.03333333333333333,0.32862222222222176,4,0,4,10,intact,top_m_global
0.8076222222222222,0.03666666666666667,0.3388999999999998,4,1,4,10,intact,top_m_global
0.7697333333333339,0.03333333333333333,0.30849999999999983,5,0,4,10,intact,top_m_global
0.7664111111111108,0.04,0.35221111111111064,5,1,4,10,intact,top_m_global
0.7940444444444456,0.04,0.33993333333333314,6,0,4,10,intact,top_m_global
0.7935666666666672,0.023333333333333334,0.32603333333333306,6,1,4,10,intact,top_m_global
