rank,accuracy,error,rep,fold,condition,K,reconstruction
0.6834111111111113,0.013333333333333334,0.38017777777777784,3,0,word,5,all_archetypes
0.6796111111111115,0.016666666666666666,0.3289666666666665,3,1,word,5,all_archetypes
0.6925000000000003,0.02,0.33605555555555516,4,0,word,5,all_archetypes
0.6925333333333333,0.01,0.36377777777777776,4,1,word,5,all_archetypes
0.6795666666666668,0.02,0.36536666666666645,5,0,word,5,all_archetypes
0.6860000000000003,0.02,0.3355777777777774,5,1,word,5,all_archetypes
0.6552777777777778,0.02,0.3759777777777776,6,0,word,5,all_archetypes
0.6526,0.013333333333333334,0.3554333333333332,6,1,word,5,all_archetypes
0.6666333333333334,0.023333333333333334,0.3921444444444442,7,0,word,5,all_archetypes
0.6717777777777784,0.03666666666666667,0.34865555555555555,7,1,word,5,all_archetypes
0.6564555555555559,0.023333333333333334,0.3345222222222222,8,0,word,5,all_archetypes
0.6512222222222219,0.02666666666666667,0.391122222222222,8,1,word,5,all_archetypes
0.6947444444444453,0.02,0.337111111111111,9,0,word,5,all_archetypes
0.6921777777777781,0.023333333333333334,0.36692222222222187,9,1,word,5,all_archetypes
0.6794111111111114,0.02666666666666667,0.3188444444444445,10,0,word,5,all_archetypes
0.6817555555555562,0.02666666666666667,0.3571111111111112,10,1,word,5,all_archetypes
0.6677444444444447,0.02,0.3692666666666665,11,0,word,5,all_archetypes
0.6715666666666671,0.013333333333333334,0.31755555555555526,11,1,word,5,all_archetypes
0.6727666666666667,0.023333333333333334,0.3364333333333331,12,0,word,5,all_archetypes
0.6702222222222226,0.016666666666666666,0.29873333333333335,12,1,word,5,all_archetypes
0.6636333333333333,0.023333333333333334,0.3480666666666668,13,0,word,5,all_archetypes
0.6573333333333334,0.016666666666666666,0.333111111111111,13,1,word,5,all_archetypes
0.6625333333333334,0.023333333333333334,0.40938888888888897,14,0,word,5,all_archetypes
0.6654444444444444,0.016666666666666666,0.33323333333333316,14,1,word,5,all_archetypes
0.6674111111111113,0.02666666666666667,0.32414444444444457,15,0,word,5,all_archetypes
0.6805111111111111,0.02,0.3291333333333334,15,1,word,5,all_archetypes
0.6624,0.03333333333333333,0.3263444444444444,16,0,word,5,all_archetypes
0.6657000000000003,0.03,0.35105555555555534,16,1,word,5,all_archetypes
0.6623111111111116,0.0033333333333333335,0.32308888888888876,17,0,word,5,all_archetypes
0.6595777777777777,0.013333333333333334,0.3501666666666663,17,1,word,5,all_archetypes
0.679,0.02,0.3377777777777774,18,0,word,5,all_archetypes
0.6812111111111111,0.03,0.2919777777777775,18,1,word,5,all_archetypes
0.6928111111111112,0.013333333333333334,0.35617777777777754,19,0,word,5,all_archetypes
0.6876222222222225,0.013333333333333334,0.34505555555555534,19,1,word,5,all_archetypes
0.8268888888888893,0.05,0.24768888888888851,0,0,intact,10,all_archetypes
0.8220444444444448,0.05,0.21678888888888867,0,1,intact,10,all_archetypes
0.836377777777778,0.06666666666666667,0.24889999999999976,1,0,intact,10,all_archetypes
0.8356777777777784,0.06333333333333334,0.2633888888888886,1,1,intact,10,all_archetypes
0.8409888888888889,0.08,0.285233333333333,2,0,intact,10,all_archetypes
0.8408666666666672,0.05333333333333334,0.26008888888888876,2,1,intact,10,all_archetypes
0.8508000000000004,0.06666666666666667,0.27744444444444405,3,0,intact,10,all_archetypes
0.8527222222222226,0.056666666666666664,0.1868888888888889,3,1,intact,10,all_archetypes
0.8385999999999996,0.05333333333333334,0.26096666666666657,4,0,intact,10,all_archetypes
0.8409444444444453,0.05333333333333334,0.24853333333333297,4,1,intact,10,all_archetypes
0.8211000000000003,0.06333333333333334,0.2304444444444441,5,0,intact,10,all_archetypes
0.8145111111111107,0.06,0.29371111111111076,5,1,intact,10,all_archetypes
0.8135000000000008,0.043333333333333335,0.2951666666666663,6,0,intact,10,all_archetypes
0.8198666666666674,0.05,0.27230000000000004,6,1,intact,10,all_archetypes
0.846133333333334,0.07333333333333333,0.24398888888888853,7,0,intact,10,all_archetypes
0.8450666666666664,0.06,0.23964444444444397,7,1,intact,10,all_archetypes
0.8624777777777783,0.07333333333333333,0.250422222222222,8,0,intact,10,all_archetypes
0.8477000000000008,0.056666666666666664,0.21917777777777767,8,1,intact,10,all_archetypes
0.837588888888889,0.04,0.25502222222222204,9,0,intact,10,all_archetypes
0.8387111111111113,0.06,0.23875555555555536,9,1,intact,10,all_archetypes
0.8319,0.05,0.2856111111111106,10,0,intact,10,all_archetypes
0.8320555555555559,0.05,0.23591111111111104,10,1,intact,10,all_archetypes
0.8493666666666666,0.05333333333333334,0.25624444444444416,11,0,intact,10,all_archetypes
0.8408888888888898,0.06333333333333334,0.26454444444444414,11,1,intact,10,all_archetypes
0.8491777777777785,0.056666666666666664,0.2527777777777776,12,0,intact,10,all_archetypes
0.8454000000000003,0.08,0.2478444444444443,12,1,intact,10,all_archetypes
0.832422222222223,0.07,0.2697999999999998,13,0,intact,10,all_archetypes
0.828166666666667,0.05,0.2783555555555553,13,1,intact,10,all_archetypes
0.8158444444444448,0.06,0.24507777777777742,14,0,intact,10,all_archetypes
0.8143222222222224,0.07333333333333333,0.2574777777777774,14,1,intact,10,all_archetypes
0.7904222222222224,0.043333333333333335,0.2848999999999999,15,0,intact,10,all_archetypes
0.7915333333333333,0.043333333333333335,0.24062222222222193,15,1,intact,10,all_archetypes
0.8362000000000003,0.05,0.2539777777777777,16,0,intact,10,all_archetypes
0.8354111111111113,0.04666666666666667,0.2641999999999997,16,1,intact,10,all_archetypes
0.808333333333334,0.06,0.2774777777777775,17,0,intact,10,all_archetypes
0.8179555555555557,0.043333333333333335,0.2540777777777777,17,1,intact,10,all_archetypes
0.8215888888888896,0.056666666666666664,0.25619999999999993,18,0,intact,10,all_archetypes
0.8275888888888897,0.05,0.2783999999999998,18,1,intact,10,all_archetypes
0.8262000000000003,0.07666666666666666,0.26019999999999976,19,0,intact,10,all_archetypes
0.8231444444444449,0.05333333333333334,0.2334555555555555,19,1,intact,10,all_archetypes
0.5744777777777778,0.0033333333333333335,0.2955333333333333,0,0,rest,10,all_archetypes
0.5743333333333336,0.006666666666666667,0.3487444444444446,0,1,rest,10,all_archetypes
0.5773666666666666,0.0033333333333333335,0.31867777777777767,1,0,rest,10,all_archetypes
0.5670999999999999,0.006666666666666667,0.3376333333333335,1,1,rest,10,all_archetypes
0.5729333333333331,0.01,0.3278222222222222,2,0,rest,10,all_archetypes
0.5722111111111107,0.006666666666666667,0.30079999999999996,2,1,rest,10,all_archetypes
0.5752666666666666,0.0033333333333333335,0.3732333333333333,3,0,rest,10,all_archetypes
0.5726555555555557,0.006666666666666667,0.3156333333333333,3,1,rest,10,all_archetypes
