analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
temporal,across,intact,25,10,"[11, 0, 2, 7, 8, 4, 9, 12, 15, 13]",0.05625,0.0014331618859895,0.0090641116309387,40,0.8212297222222226,0.2552149999999998
temporal,across,intact,50,1,[0],0.0085833333333333,0.0005187029077928,0.0032805652351551,40,0.6090147222222221,0.3253411111111109
temporal,across,intact,50,2,"[0, 34]",0.016,0.0009105272258751,0.0057586798107199,40,0.6417711111111112,0.2900716666666666
temporal,across,intact,50,3,"[0, 34, 6]",0.0231666666666666,0.0010332781898713,0.0065350250731387,40,0.653736388888889,0.2836277777777777
temporal,across,intact,50,5,"[0, 34, 6, 8, 2]",0.0260833333333333,0.0010119478551479,0.0064001201911791,40,0.6777788888888889,0.3099008333333332
temporal,across,intact,50,10,"[0, 34, 6, 8, 2, 12, 13, 3, 18, 9]",0.0519166666666666,0.0014166666666666,0.0089597867038104,40,0.7370413888888893,0.2941402777777775
temporal,across,intact,75,1,[27],0.0094166666666666,0.0006633195892576,0.0041952014373227,40,0.6353558333333332,0.3254180555555555
temporal,across,intact,75,2,"[27, 15]",0.0136666666666666,0.0008506742758816,0.0053801365174007,40,0.645061388888889,0.2551991666666666
temporal,across,intact,75,3,"[27, 15, 20]",0.018,0.0009754829324836,0.0061694957705373,40,0.6554355555555558,0.2564897222222222
temporal,across,intact,75,5,"[27, 15, 20, 34, 22]",0.0276666666666666,0.0009336995618478,0.0059052345314809,40,0.6952377777777781,0.2580997222222221
temporal,across,intact,75,10,"[27, 15, 20, 34, 22, 0, 6, 19, 16, 13]",0.0503333333333333,0.001536822488716,0.0097197188474222,40,0.7650047222222225,0.1963727777777777
temporal,across,intact,100,1,[22],0.0113333333333333,0.0007040784727049,0.0044529832504804,40,0.6316341666666668,0.2813672222222221
temporal,across,intact,100,2,"[22, 87]",0.0121666666666666,0.0007015448967566,0.0044369595092371,40,0.6282055555555555,0.2988994444444444
temporal,across,intact,100,3,"[22, 87, 0]",0.0156666666666666,0.0008371706521699,0.0052947321022114,40,0.6280250000000002,0.278286111111111
temporal,across,intact,100,5,"[22, 87, 0, 19, 6]",0.02125,0.000742363784545,0.0046951208231694,40,0.6300047222222223,0.2716155555555555
temporal,across,intact,100,10,"[22, 87, 0, 19, 6, 31, 63, 52, 10, 14]",0.0375833333333333,0.0011321984010645,0.0071606514211298,40,0.6899863888888891,0.2620022222222221
temporal,across,intact,300,1,[50],0.006666666666666666,1.3888903378525477e-19,8.784113775629649e-19,40,0.6748983333333334,0.39117361111111104
temporal,across,intact,300,2,"[50, 266]",0.01,0.0,0.0,40,0.6324316666666667,0.3563047222222222
temporal,across,intact,300,3,"[50, 266, 1]",0.0125,0.00026012269732535393,0.0016451603893094155,40,0.5513166666666666,0.3914552777777777
temporal,across,intact,300,5,"[50, 266, 1, 0, 9]",0.018333333333333333,0.0003580574370197165,0.002264554068289192,40,0.532233888888889,0.3873394444444444
temporal,across,intact,300,10,"[50, 266, 1, 0, 9, 101, 63, 29, 25, 195]",0.032499999999999994,0.0005304140187994953,0.0033546328045795494,40,0.5399700000000001,0.4015552777777778
temporal,across,rest,5,1,[1],0.0058333333333333,0.00058165203371,0.0036786904643858,40,0.5377561111111111,0.3382761111111111
temporal,across,rest,5,2,"[1, 0]",0.0042499999999999,0.000620030097606,0.003921414652583,40,0.5554330555555556,0.3196030555555555
temporal,across,rest,5,3,"[1, 0, 3]",0.0030833333333333,0.0005647213971599,0.0035716117169158,40,0.4988183333333333,0.3268466666666666
temporal,across,rest,5,5,"[1, 0, 3, 2, 4]",0.0049166666666666,0.0005335936864527,0.0033747427885527,40,0.5315494444444445,0.3025624999999999
temporal,across,rest,5,10,"[1, 0, 3, 2, 4]",0.0049166666666666,0.0005335936864527,0.0033747427885527,40,0.5315494444444445,0.3025624999999999
temporal,across,rest,10,1,[0],0.0098333333333333,0.0007255020856987,0.0045884780760216,40,0.6280927777777778,0.340886111111111
temporal,across,rest,10,2,"[0, 2]",0.0085,0.0006639903545106,0.0041994437292726,40,0.6170555555555556,0.3557705555555555
temporal,across,rest,10,3,"[0, 2, 3]",0.0081666666666666,0.0006309898162,0.0039907299991262,40,0.5940641666666666,0.3337511111111111
