analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean,fit_source_file,fit_source_basename
spatial,across,rest,100,1,[8],0.0058333333333333,0.000672517064675,0.0042533713794081,40,0.5365936111111111,0.3377641666666666,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,rest,100,2,"[8, 12]",0.0063333333333333,0.0008251737277153,0.0052188568898243,40,0.5513549999999999,0.3455974999999999,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,rest,100,3,"[8, 12, 4]",0.0054166666666666,0.0005558225853982,0.0035153306896435,40,0.5562052777777777,0.3405538888888889,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,rest,100,5,"[8, 12, 4, 9, 10]",0.00425,0.0005722388181146,0.0036191560616103,40,0.5523847222222222,0.3478044444444444,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,rest,100,10,"[8, 12, 4, 9, 10, 21, 59, 14, 15, 27]",0.006,0.0006224663745652,0.0039368230209872,40,0.5400886111111111,0.3382838888888889,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,rest,300,1,[28],0.005583333333333333,0.0006792351572617534,0.0042958603276195976,40,0.5224830555555556,0.33048888888888894,,
spatial,across,rest,300,2,"[28, 25]",0.004583333333333333,0.0006611685674953662,0.004181597181192252,40,0.5191180555555557,0.33690277777777783,,
spatial,across,rest,300,3,"[28, 25, 26]",0.003916666666666667,0.0006188802957865281,0.003914142667368273,40,0.5099100000000001,0.34250027777777775,,
spatial,across,rest,300,5,"[28, 25, 26, 31, 32]",0.005416666666666667,0.0006611685674953662,0.004181597181192252,40,0.5312211111111111,0.34673999999999994,,
spatial,across,rest,300,10,"[28, 25, 26, 31, 32, 30, 24, 36, 50, 29]",0.006333333333333334,0.000683546975149819,0.004323130658383886,40,0.5473224999999999,0.33222222222222225,,
spatial,across,rest,500,1,[40],0.003166666666666667,0.0005330928945203023,0.0033715755022721006,40,0.5125322222222223,0.3510238888888889,,
spatial,across,rest,500,2,"[40, 42]",0.00425,0.0006425942346670646,0.004064122785681311,40,0.5396872222222222,0.3448747222222222,,
spatial,across,rest,500,3,"[40, 42, 38]",0.004666666666666667,0.0005175000172041232,0.003272957487082702,40,0.5121330555555555,0.34078638888888885,,
spatial,across,rest,500,5,"[40, 42, 38, 50, 107]",0.006416666666666668,0.0008801992457680887,0.005566868822778968,40,0.5217277777777778,0.34312555555555546,,
spatial,across,rest,500,10,"[40, 42, 38, 50, 107, 99, 53, 77, 87, 58]",0.009833333333333333,0.0008178040222470289,0.0051722467798952475,40,0.5505641666666667,0.33700888888888886,,
spatial,across,rest,700,1,[53],0.006166666666666667,0.0005277215444626347,0.0033376041016874875,40,0.5341352777777779,0.35290027777777777,,
spatial,across,rest,700,2,"[53, 81]",0.008916666666666666,0.0005519648921491675,0.003490932495281123,40,0.5200405555555556,0.35066277777777777,,
spatial,across,rest,700,3,"[53, 81, 147]",0.008416666666666666,0.0007159905377464497,0.0045283217648150855,40,0.556316111111111,0.3367897222222222,,
spatial,across,rest,700,5,"[53, 81, 147, 95, 59]",0.00775,0.0005647213971599237,0.0035716117169158033,40,0.5446130555555555,0.33313444444444446,,
spatial,across,rest,700,10,"[53, 81, 147, 95, 59, 44, 110, 178, 145, 51]",0.008583333333333335,0.000652493573338361,0.004126731700742675,40,0.5619127777777779,0.33675055555555555,,
spatial,across,word,5,1,[2],0.00625,0.0006448072217929,0.0040781189451822,40,0.5504149999999999,0.3645122222222222,,
spatial,across,word,5,2,"[2, 1]",0.0114166666666666,0.0007537890989514,0.0047673808561851,40,0.5799155555555556,0.3971977777777777,,
spatial,across,word,5,3,"[2, 1, 3]",0.0149166666666666,0.0008850410842428,0.0055974912980645,40,0.5902677777777778,0.3808569444444443,,
spatial,across,word,5,5,"[2, 1, 3, 0, 4]",0.0168333333333333,0.0008001958449738,0.0050608828886406,40,0.6419222222222223,0.3437697222222221,,
